,id,text,label
0,529661510369284096,"@mikeyerxa EXCUSE ME, WHERE'S MY INVITE (to the latter, duh)",comment
1,529661727940431872,@halihamilton @mikeyerxa gonna try to make it to both.,comment
2,529661317087768576,@mikeyerxa you should send Prince a set of tennis balls for the legs of his walker.  Easier to slide across stage.,comment
3,529666750330449920,"@NobleRobel Girl, don't be mean.   Age ain't nothing but a number.",comment
4,529660296080916480,Prince is playing a secret show in Toronto tonight.  I will also be playing a secret show tonight involving pizza &amp; netflix bingeing.,support
5,529656160736251904,@EntCity @davidleyes,comment
6,529751327174586370,"@jordanletkemann @EntCity 
haha!!!! keep your ears open and let me know if you hear anything...
i'll do the same!!!
http://t.co/iSYC7y73y3",comment
7,529670625229422593,@jordanletkemann @EntCity @davidleyes wtf?!?!?!?!,comment
8,529697018575585280,@EntCity prince is god,comment
9,529677185171607553,@davidleyes @EntCity: I'm crying as well... Don't you worry!,deny
10,529880720458911745,@davidleyes: I'm crying purple tears...,comment
11,529653029747064832,Prince fans lining up at Massey Hall. Wristbands for surprise show reportedly on sale at 6pm. #Toronto http://t.co/uZBPGlfyce,support
12,529690572630798338,@LisaLaFlammeCTV @CTVToronto a suprise concert on Vancouver would be cool #cmonprince,support
13,529687957377413120,@LisaLaFlammeCTV hope not,comment
14,529690952563433472,@LisaLaFlammeCTV I am in a line up. It is going down Victoria Street to Queen.,comment
15,529689606649020418,"@LisaLaFlammeCTV Do you mean the artist formerly known as ""Strange Symbol""?",comment
16,529689031571808256,"@LisaLaFlammeCTV yep, don't as me how I know, but yep",support
17,529687410611728384,Is it true? Prince rumoured to be performing surprise show in Toronto http://t.co/EZiiLVkXyb,comment
18,529715169942065152,“@billboard: Secret Prince show rumored for Toronto tonight http://t.co/90Qxxfa6w7” Wishing this was NYC @pdubfunk,support
19,529714660690644992,“@billboard: Secret Prince show rumored for Toronto tonight http://t.co/5Wvo9cdOkD” why does no one ever do secret shows in Ohio? 😔,support
20,529714853955399680,“@billboard: Secret Prince show rumored for Toronto tonight http://t.co/03P4JFAC8R” @TheBruun,support
21,529739950993203201,@TheBruun noooooo!,comment
22,529736871707152385,@Rachelle_JL I think it sold out in minus 4 minutes.,deny
23,529713467184676864,Secret Prince show rumored for Toronto tonight http://t.co/GE2DFcFKLJ,support
24,529689790254698496,@FreekmaneJames LOOOOOOOOOOOOOOOOOOOL,comment
25,529690091221180416,@FreekmaneJames *holds boom box to air and gets emosh with benji* PURPLE RAIN PURPLE RAINBNNN *insert hard electric guitar here*,deny
26,529693591132983297,@tristananthonyJ we should be at this concert,comment
27,529694204361203713,@FreekmaneJames tell me we wouldn't show up in the tightest clothes and cry while still being the hardest niggas at a prince concert,comment
28,529695331387461632,@tristananthonyJ that's the only concert we could wear heels and still be hard af,comment
29,529689679411810304,People talking about stupid shit like government corruption and harassment when Prince is in Toronto smh,support
30,529797259362177024,@ctvottawa any help with this event even raffle prizes are much appreciated,comment
31,529797166739378177,@ctvottawa @masseyhall  holding suicide prevention event and fundraiser for funeral costs for my cousin who passed on sun,comment
32,529716453792956416,Is #Prince in #Toronto? Rumours fly of surprise show... @masseyhall http://t.co/ySchlys6DA,comment
33,529698240405729281,@akrred @TheSocialCTV That's insane! I love Prince but there's no way I can get babysitting so last minute :(,comment
34,529695704982491137,"@TheSocialCTV I saw Prince in concert 2 years ago in halifax and honestly, was the most boring concert ever! Was so disappointed",deny
35,529695587390980097,@TheSocialCTV Yes indeed !,comment
36,529696619244306432,@TheSocialCTV #birthdaygirl #prince  it's my Birthday ohhhh I would love to see my all time fav ❤️❤️❤️please get me in!,comment
37,529697981751373824,@BabiesBaubles @TheSocialCTV Massey Hall tix 10$? #Prince,comment
38,529696091638620160,"@TheSocialCTV Love Prince, he was my first concert!! #PRINCEWATCH",comment
39,529696892851347458,@TheSocialCTV Where??? #Prince,query
40,529701086815592449,@TheSocialCTV I want tickets so bad!,comment
41,529695367680761856,OMG. #Prince rumoured to be performing in Toronto today. Exciting!,support
42,529708506111549440,@Stazie_15 Enjoyyyyyy I'm jealous 😩@TorontoComms,comment
43,529705003758665729,@ianallen169 @PrincePartyUK @TorontoComms @3RDEYEGIRL I can't go lol I have to work or I would should be amazing.,comment
44,529702311111983104,@ianallen169 @PrincePartyUK @Stazie_15 @TorontoComms @3RDEYEGIRL and boy did we know how to queue mate.,comment
45,529703489107423233,@Stazie_15 @PrincePartyUK @TorontoComms @3RDEYEGIRL I hope you enjoy! Only slightly jealous 😜,comment
46,529701933301653505,"@Stazie_15 @PrincePartyUK @TorontoComms If there's one thing @3RDEYEGIRL fans love more than the music, it's queueing!",comment
47,529702566104678401,@ianallen169 @PrincePartyUK @TorontoComms @3RDEYEGIRL very very true hope it's a heck of a concert.,comment
48,529695483661664257,Clearly prince is having a show in #toronto @TorontoComms #tdot #gta #prince #concert http://t.co/e7oktlGd1v,support
49,529740822238232577,"athenaph what tease!!! RT @CBCNews: Prince not playing Massey Hall tonight, promoter says http://t.co/245JKmwWHH",support
50,529741502323621890,@CBCNews Of course not. I can't make it tonight. But Saturday.....,support
51,529741574742507520,@CBCNews  lol.,comment
52,529827763855704064,@CBCNews @PrinceNewsUSA 💜💜💜💜💜💜💜💜💜💜O(+&gt;,comment
53,529748991849013248,"@CBCNews And, ... ?
When @CBCNews asked Live Nation why no one made this clarification 4 or 5 hours earlier?",query
54,529746860714758145,"“@CBCNews: Prince not playing Massey Hall tonight, promoter says http://t.co/IUaL2ulFZf http://t.co/ZDYfGmZKX0” good. I was feeling bitter.",comment
55,529743000247992320,@CBCNews good :-),query
56,529740809672077313,".@CBCNews I can also confirm he will not be playing in Rankin Inlet, NU either",deny
57,529745508148203523,"WTW?! @CBCNews: Prince not playing Massey Hall tonight, promoter says http://t.co/MleQFsdS0P http://t.co/qPpE8zL2pF”",deny
58,529739968470867968,"Prince not playing Massey Hall tonight, promoter says http://t.co/clVHvM07kx http://t.co/IADirsFOOC",deny
59,529590746018754560,@PrinceTaughtMe @PrinceMuseum @3RDEYEGIRL I wld def go if I was only 2 hrs away. I once flew 11 hrs 2 C him in Vegas. Best night of my life!,comment
60,529548830287876096,@PrinceMuseum and oh my god the show already sold out in Toronto?!?! damn.,query
61,529542083405955072,@PrinceTaughtMe @3RDEYEGIRL get on board the seduction 747....,comment
62,529550553773506560,"@PrinceMuseum ohhhh! alright! I was confused because it said ""no longer on sale""!",comment
63,529546994520694784,@PrinceTaughtMe if you can make it tonight - do it :),comment
64,529550101925343233,@PrinceTaughtMe I don't think it's even been on sale yet,support
65,529657666843721729,@sarah_mccrone @PrinceMuseum @3RDEYEGIRL no moneyyyyy :(,comment
66,529542544573865985,"@PrinceMuseum @3RDEYEGIRL I only wish. The Commodore Ballroom is calling Prince's name with Vancouver, he'll be back around… hopefully!",comment
67,529547352907218944,"@PrinceMuseum I doubt it! I don't got the money to go all the way out there! If I did, I definitely would! It would be fun! :)",comment
68,529660640575897600,@PrinceTaughtMe @PrinceMuseum @3RDEYEGIRL oh no:(,comment
69,529661580649459712,@sarah_mccrone @PrinceMuseum @3RDEYEGIRL :(,comment
70,529541029910044672,@PrinceMuseum @3RDEYEGIRL it's a four hour flight from Vancouver to Toronto and I'm so tempted lol,comment
71,529658081840746496,@mossequ1 @PrinceMuseum @3RDEYEGIRL it's across the country and 4 hours away lol and it's like $300 I think,support
72,529574549340553216,@PrinceTaughtMe @PrinceMuseum @3RDEYEGIRL go!!!!! I would if I could!!,comment
73,529540733020405760,"PRINCE IN TORONTO TONIGHT:
@3RDEYEGIRL tweeted this morning to say OTNOROT CALLING, which is Toronto backwards, obviously.... Seems it's on!",support
74,529655597114085376,"@CTVNews Next, maybe Vancouver, B.C?",query
75,529680820324560897,@CTVNews hahahaha well it's not much of a surprise now is it!? :P,comment
76,529655944066912257,Exciting! Anyone going? RT @CTVNews Prince rumoured to performsurprise show in Toronto http://t.co/MaIAv6N5cj http://t.co/4YgRYJVk9K,comment
77,529658952519540736,"“@CTVNews: Prince rumoured to be performing in surprise show in Toronto http://t.co/ikEU0ijo3j http://t.co/h4hgLCIR0z”

How cool!",comment
78,529654399455727617,@CTVNews I guess it's no longer a surprise.,comment
79,529654334456598529,@CTVNews hey @stephb209 ^^^^,comment
80,529680436121702400,@CTVNews who cares!!!!,comment
81,529664081100562432,@CTVNews  he's still alive???,query
82,529655164828139522,"@CTVNews IF this were to be happening on Thursday, would consider flying Vancouver to To. in hopes of seeing him live. #OnBucketList",comment
83,529671977662185473,@natashankpr I'll definitely be trying to get tix today!,comment
84,529654186791944192,Prince rumoured to be performing in surprise show in Toronto http://t.co/PEbtcmybqc http://t.co/HOoFI33eV2,support
85,529722000076718082,This is what it feels like/when doves cry  RT @LiveNationON: we can confirm that Prince will not be performing at @masseyhall tonight.,comment
86,529722084600320001,@LiveNationON Soo... Its tomorrow night!? #Prince @masseyhall,query
87,529723119913951232,@LiveNationON @masseyhall Tomorrow Night?,query
88,529721379302952961,@SBranisteanu @LiveNationON @masseyhall thank you for that tweet!! MUCHO APPRECIATEO,support
89,529722570460123136,@ROCKthusiast maybe tomorrow?,query
